2023-03-08 09:18:18,164 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Mar 08 09:18:18 GMT+07:00 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-03-08 02:31:10,941 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 02:31:10,990 | INFO  | Recovering from the journal @1:509 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 02:31:10,994 | INFO  | Recovery replayed 84 operations from the journal in 0.045 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 02:31:11,000 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-03-08 02:31:11,005 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2023-03-08 02:31:11,110 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 02:31:11,111 | INFO  | Recovery replayed 1 operations from the journal in 0.001 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 02:31:11,112 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 02:31:11,147 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:8ee70a74439a-37543-1678242671008-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-03-08 02:31:11,300 | INFO  | Listening for connections at: tcp://8ee70a74439a:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 02:31:11,302 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 02:31:11,305 | INFO  | Listening for connections at: amqp://8ee70a74439a:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 02:31:11,306 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 02:31:11,309 | INFO  | Listening for connections at: stomp://8ee70a74439a:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 02:31:11,311 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 02:31:11,314 | INFO  | Listening for connections at: mqtt://8ee70a74439a:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 02:31:11,315 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 02:31:11,391 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@38aa816f{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-03-08 02:31:11,418 | INFO  | Listening for connections at ws://8ee70a74439a:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-03-08 02:31:11,418 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 02:31:11,419 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:8ee70a74439a-37543-1678242671008-1:1) started | org.apache.activemq.broker.BrokerService | main
2023-03-08 02:31:11,420 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-03-08 02:31:11,785 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-03-08 02:31:11,862 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 02:31:11,862 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 02:31:11,889 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-03-08 02:31:12,050 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2023-03-08 02:31:12,074 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2023-03-08 09:33:16,404 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Mar 08 09:33:16 GMT+07:00 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-03-08 09:33:16,979 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:33:17,140 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-03-08 09:33:17,257 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:33:17,384 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-46289-1678242797267-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:33:17,399 | INFO  | Listening for connections at: tcp://3d5e41c179a8:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:33:17,400 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:33:17,402 | INFO  | Listening for connections at: amqp://3d5e41c179a8:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:33:17,404 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:33:17,406 | INFO  | Listening for connections at: stomp://3d5e41c179a8:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:33:17,408 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:33:17,411 | INFO  | Listening for connections at: mqtt://3d5e41c179a8:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:33:17,413 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:33:17,534 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-03-08 09:33:17,556 | INFO  | Listening for connections at ws://3d5e41c179a8:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-03-08 09:33:17,557 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:33:17,558 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-46289-1678242797267-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:33:17,559 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:33:17,870 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-03-08 09:33:18,058 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 09:33:18,059 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 09:33:18,086 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-03-08 09:33:18,216 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2023-03-08 09:33:18,259 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2023-03-08 09:36:20,357 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Mar 08 09:36:20 GMT+07:00 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-03-08 09:36:20,964 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:36:20,990 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:36:21,040 | INFO  | Recovering from the journal @1:509 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:36:21,043 | INFO  | Recovery replayed 36 operations from the journal in 0.045 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:36:21,050 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-03-08 09:36:21,055 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2023-03-08 09:36:21,159 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:36:21,160 | INFO  | Recovery replayed 1 operations from the journal in 0.002 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:36:21,161 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:36:21,199 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-34663-1678242981057-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:36:21,293 | INFO  | Listening for connections at: tcp://3d5e41c179a8:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:36:21,294 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:36:21,296 | INFO  | Listening for connections at: amqp://3d5e41c179a8:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:36:21,297 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:36:21,299 | INFO  | Listening for connections at: stomp://3d5e41c179a8:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:36:21,299 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:36:21,302 | INFO  | Listening for connections at: mqtt://3d5e41c179a8:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:36:21,303 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:36:21,379 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@5bf0fe62{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-03-08 09:36:21,410 | INFO  | Listening for connections at ws://3d5e41c179a8:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-03-08 09:36:21,411 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:36:21,412 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-34663-1678242981057-1:1) started | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:36:21,412 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:36:21,625 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-03-08 09:36:21,760 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 09:36:21,760 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-08 09:36:21,788 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-03-08 09:36:21,914 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2023-03-08 09:36:21,957 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2023-03-08 09:43:28,704 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Mar 08 09:43:28 GMT+07:00 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-03-08 09:43:29,274 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:43:29,301 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:43:29,351 | INFO  | Recovering from the journal @1:5274 | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:43:29,354 | INFO  | Recovery replayed 84 operations from the journal in 0.046 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-03-08 09:43:29,360 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-03-08 09:43:29,365 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2023-03-08 09:43:29,469 | INFO  | Recovering from the scheduled job journal @1:106 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:43:29,470 | INFO  | Recovery replayed 1 operations from the journal in 0.001 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:43:29,471 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2023-03-08 09:43:29,496 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-32817-1678243409367-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:43:29,579 | INFO  | Listening for connections at: tcp://3d5e41c179a8:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:43:29,580 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:43:29,582 | INFO  | Listening for connections at: amqp://3d5e41c179a8:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:43:29,583 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:43:29,585 | INFO  | Listening for connections at: stomp://3d5e41c179a8:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:43:29,586 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:43:29,588 | INFO  | Listening for connections at: mqtt://3d5e41c179a8:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-08 09:43:29,589 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:43:29,650 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@5bf0fe62{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-03-08 09:43:29,673 | INFO  | Listening for connections at ws://3d5e41c179a8:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-03-08 09:43:29,674 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-03-08 09:43:29,675 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:3d5e41c179a8-32817-1678243409367-1:1) started | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:43:29,675 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-03-08 09:43:29,899 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-03-08 09:43:30,028 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
